ID,Title,2_Tool,aflickering,AinsleyIscariot,astadaradim,Blazko,blue_skies,Costanzo,crushedtoapulp,darsu,Decibelle,deleted,diction,dukkha,Ghost_Train,Gonph,goodsinginggum,hb_music,Ice_spiral,Inovox,Jewelz,Josh318,Lady_Penelope,Lambuzz,LIfeDuringWartime,Magenta_Bob,Meister333,mistercb,momotaroyouth,moorezey,mrblond,oscarmurraey,ocillating_fan,Ovals,peelsa,Psy_b,Rengar18,russalex86 ,RustyJames,RuthJanelle,selwyn42,Silverblack,Sluggo714,Sosen,stuie299,thefeverayeaye,ThePsuedo,tuukkis,TWiseau,YasashiiDia
[Film106012],وجدة [Wadjda],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106081],الشتا اللي فات [Winter of Discontent],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106146],Ernest et Célestine [Ernest & Celestine],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
[Film106149],Everyday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
[Film106194],Frances Ha,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,42,0,0,35,0,47,0,0,1,0,6,9,0,0
[Film106262],Jak całkowicie zniknąć [How to Disappear Completely],0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106278],Before Midnight,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,42,0,0,0,0,0,0,0,0,0,0
[Film106385],Leviathan,0,0,0,30,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,36,0,44,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
[Film106415],Her,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,24,21,0,0,0,0,0,0,20,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,5,0,0,0,0
[Film106455],The Invitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106477],三姊妹 [Three Sisters],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106659],Museum Hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film106982],Stories We Tell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
[Film107010],La Vénus à la fourrure [Venus in Fur],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film107186],Frozen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film107363],O som ao redor [Neighboring Sounds],0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
[Film107452],The Homesman,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film107459],How to Survive a Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
